material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Li2AlTiO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,17.5,1.3269,0.9595,1.2633,0.88405,-3.34179493260027,-3.34179493260027,0.3787108183596375,6.423766127941595,3.401238473150615
Li2AlVO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,18.0,1.29345,0.93755,1.23085,0.8629500000000001,-3.485184929708275,-3.485184929708275,0.11776277362235599,6.472809116950945,3.2952859452866496
Li2AlCrO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,18.5,1.26615,0.9194500000000001,1.2020499999999998,0.8446,-3.4852949297060603,-3.4852949297060603,-0.08126785236075704,6.51767529104332,3.21820371934128
Li2AlMnO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,19.0,1.23795,0.9039,1.17995,0.82845,-3.462329930169235,-3.462329930169235,-0.1169585366394035,6.56251837514285,3.22277991925172
Li2AlFeO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,19.5,1.22035,0.89085,1.1484999999999999,0.81725,-3.4731549299509052,-3.4731549299509052,-0.3281984573847435,6.599290884393415,3.135546213504335
Li2AlCoO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,20.0,1.19965,0.8792500000000001,1.12445,0.8047500000000001,-3.479274929827475,-3.479274929827475,-0.36446534165210254,6.69265981751773,3.1640972379328147
Li2AlNiO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,20.5,1.18045,0.86865,1.10255,0.7938000000000001,-3.48236992976505,-3.48236992976505,-0.36188540169673244,6.802675910303449,3.220395254303355
Li2AlCuO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,21.0,1.1533,1.2992,1.0928499999999999,1.18825,-3.560519928188865,-3.560519928188865,-0.4467853699883775,7.029894670715596,3.2915546503636097
Li2AlZnO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,21.5,1.10635,1.25225,1.054,1.1494,-4.261869914043535,-1.6221999672823026,0.9694427514500376,7.834067524496495,4.401755137973265
Li2AlGaO6,3,1.67295,1.67295,1.49435,1.49435,-2.74798994457656,-2.74798994457656,-0.383821951658726,5.17795252326738,2.39706528580433,1,5,22.0,1.05555,1.36965,1.0139,1.2284000000000002,-2.4873449498334352,-2.4873449498334352,0.3956659080208625,5.699757312545,3.04771161028293
