material,lattice_constant,bulk_modulus,cohesive_energy,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_Z,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_Z,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
BaAgO3,4.089832,0.723307857564,5.35200644379656,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
BaAlO3,3.89309595,0.955497529453,6.98444046400073,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
BaBiO3,4.35500842,0.744158990173,6.25619835379475,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
BaCdO3,4.1814547,0.635033838212,5.10720111279807,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
BaCoO3,3.84709673,1.06663870936,6.76587478039874,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
BaCrO3,3.85186822,1.22132544736,7.92502540480127,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
BaCuO3,3.921688,0.862978084007,5.77335039380414,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
BaFeO3,3.83140445,1.12993874346,7.18010847000551,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
BaGaO3,3.98293514,0.861783115641,6.24054823740007,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
BaGeO3,3.90953395,1.01968955408,6.75176446660043,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
BaMnO3,3.8392961,1.20155868958,7.56970249980004,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
BaMoO3,4.00533037,1.23785523017,8.41462343020248,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
BaNbO3,4.07314812,1.16570962352,8.57669439440651,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
BaNiO3,3.86902083,0.976635889925,6.3278879996069,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
BaPbO3,4.28012822,0.731875569267,6.09631733860297,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
BaPdO3,4.03002324,0.762098866519,5.84575278919947,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
BaPtO3,4.05301609,1.09217167822,6.34339846620278,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
BaRhO3,3.97951979,1.10817436032,6.62100320820173,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
BaRuO3,3.97184193,1.0529006201,7.33718713720446,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.47565,0.64735,1.36995,0.63885,44,-3.62910997010066,-3.62910997010066,-0.925803392330116,7.67333103681727,3.37376382224358
BaSbO3,4.22686117,0.84870042155,6.4984103320021,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.00325,1.23855,0.98825,1.18075,51,-4.78668996056364,-4.78668996056364,-1.48174758781515,8.33749663130363,3.42787452174424
BaSnO3,4.12347772,0.942861503419,6.67708581560582,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.06585,1.35395,1.04465,1.27905,50,-3.60333997031297,-3.60333997031297,-0.624456994831229,6.87582904338559,3.12568602427718
BaTaO3,4.07017942,1.21640082686,8.61863168580167,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
BaTcO3,3.97673484,1.23936043608,7.95311356699967,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
BaTiO3,3.96790469,1.12786890118,8.21995886160366,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
